,lat,lon,city,clouds,country,date,humidity,max_temp,wind_sp
115,-14.79,-39.05,ilheus,90,BR,1579921645,100,77.0,4.7
116,57.14,-2.1,aberdeen,100,GB,1579921544,87,45.0,14.99
117,41.67,-70.18,south yarmouth,75,US,1579921645,86,41.0,5.82
118,-3.8,102.27,bengkulu,100,ID,1579921250,93,75.9,3.49
119,69.49,88.4,talnakh,75,RU,1579921000,78,10.4,17.9
120,-2.57,150.8,kavieng,7,PG,1579921269,68,84.27,11.32
121,-35.72,150.18,batemans bay,86,AU,1579921288,79,80.01,4.0
122,31.37,-106.02,praxedis guerrero,75,MX,1579921645,40,55.4,1.59
123,-13.08,-76.38,san vicente de canete,92,PE,1579921646,85,72.32,4.72
124,49.78,-74.85,chapais,1,CA,1579921646,84,3.2,5.82
125,-6.22,155.63,kieta,0,PG,1579921646,66,86.59,7.96
126,38.37,-81.7,south charleston,90,US,1579921646,100,46.4,5.1
127,22.29,114.16,victoria,40,HK,1579921281,73,73.99,8.05
128,69.7,170.31,pevek,92,RU,1579921286,96,-23.4,2.57
129,47.47,84.87,zaysan,100,KZ,1579921400,70,20.25,2.21
130,31.4,30.42,rosetta,40,EG,1579921647,62,51.8,5.82
131,60.34,102.28,vanavara,100,RU,1579921647,96,17.64,5.41
132,36.88,-89.59,sikeston,90,US,1579921647,86,37.99,9.17
133,37.38,55.49,kalaleh,90,IR,1579921647,93,37.4,13.87
134,-9.8,-139.03,atuona,0,PF,1579921258,77,80.96,12.8
135,20.52,-13.05,atar,100,MR,1579921295,21,70.29,9.22
136,28.37,129.48,naze,75,JP,1579921257,83,73.4,6.93
137,51.03,-4.22,northam,75,GB,1579921294,93,44.01,3.36
138,-34.0,24.73,kruisfontein,71,ZA,1579921245,83,65.12,5.68
139,32.67,-17.1,ponta do sol,40,PT,1579921261,54,59.0,5.82
140,59.95,12.2,magnor,81,SE,1579921648,66,34.0,4.7
141,27.98,-114.06,guerrero negro,100,MX,1579921378,76,62.02,11.12
142,71.29,-156.79,barrow,1,US,1579921252,75,-20.2,9.17
143,43.51,123.51,zhengjiatun,0,CN,1579921506,67,11.23,3.8
144,-3.28,-39.27,trairi,100,BR,1579921648,84,76.87,3.06
145,-9.93,33.93,karonga,100,MW,1579921648,84,74.14,3.51
146,41.81,126.91,linjiang,0,CN,1579921648,67,20.7,2.44
147,-17.37,49.42,fenoarivo atsinanana,100,MG,1579921649,90,74.84,7.9
148,61.28,108.01,yerbogachen,98,RU,1579921246,94,8.26,6.42
